class_name,qualified_term,term_local_name
mids0,mids:PhysicalSpecimenID,PhysicalSpecimenID
mids0,mids:Organization,Organization
mids1,mids:Name,Name
mids1,mids:SpecimenType,SpecimenType
mids1,mids:ObjectType,ObjectType
mids1,mids:License,License
mids1,mids:Modified,Modified
mids2,mids:QualitativeLocation,QualitativeLocation
mids2,mids:QuantitativeLocation,QuantitativeLocation
mids2,mids:CollectingAgent,CollectingAgent
mids2,mids:CollectionDate,CollectionDate
mids2,mids:CollectorNumber,CollectorNumber
mids2,mids:TypeStatus,TypeStatus
mids2,mids:media,media
mids3,mids:AssociatedMediaID,AssociatedMediaID
